24 0.00 
25 0.00 
26 0.00 
27 0.00 
28 0.00 
29 0.00 
Pref:
1 153.34 1.0
2 66.83 1.0
3 0.00 0.0
4 50.08 1.0
5 0.00 0.0
6 29.88 1.0
lambda:
1 60.0 
2 30.0 
3 30.0 
4 30.0 
5 30.0 
6 30.0 
assets:
4 11.26 
5 11.26 
6 11.26 
* end dispatch *
DISPATCH 153
loads:
1 0.00 
2 0.00 
3 14.93 
4 14.93 
5 3.63 
6 3.63 
7 3.63 
8 9.24 
9 9.24 
10 3.63 
11 12.75 
12 20.90 
13 24.70 
14 7.44 
15 5.10 
16 7.38 
17 30.94 
18 30.94 
19 30.94 
20 30.94 
21 30.94 
22 20.13 
23 17.78 
24 0.00 
25 0.00 
26 0.00 
27 0.00 
28 0.00 
29 0.00 
Pref:
1 153.34 1.0
2 66.83 1.0
3 0.00 0.0
4 50.08 1.0
5 0.00 0.0
6 29.88 1.0
lambda:
1 60.0 
2 30.0 
3 30.0 
4 30.0 
5 30.0 
6 30.0 
assets:
4 11.46 
5 11.46 
6 11.46 
* end dispatch *
DISPATCH 154
loads:
1 0.00 
2 0.00 
3 14.53 
4 14.53 
5 3.53 
6 3.53 
7 3.53 
8 9.00 
9 9.00 
10 3.53 
11 12.42 
12 20.34 
13 24.05 
14 7.24 
15 4.96 
16 7.19 
17 30.12 
18 30.12 
19 30.12 
20 30.12 
21 30.12 
22 19.60 
23 17.31 
24 0.00 
25 0.00 
26 0.00 
27 0.00 
28 0.00 
29 0.00 
Pref:
1 153.34 1.0
2 66.83 1.0
3 0.00 0.0
4 50.08 1.0
5 0.00 0.0
6 29.88 1.0
lambda:
1 60.0 
2 30.0 
3 30.0 
4 30.0 
5 30.0 
6 30.0 
assets:
4 8.79 
5 8.79 
6 8.79 
* end dispatch *
DISPATCH 155
loads:
1 0.00 
2 0.00 
3 14.42 
4 14.42 
5 3.50 
6 3.50 
7 3.50 
8 8.92 
9 8.92 
10 3.50 
11 12.32 
12 20.18 
13 23.85 
14 7.18 
15 4.92 
16 7.13 
17 29.88 
18 29.88 
19 29.88 
20 29.88 
21 29.88 
22 19.44 
23 17.18 
24 0.00 
25 0.00 
26 0.00 
27 0.00 
28 0.00 
29 0.00 
Pref:
1 153.34 1.0
2 66.83 1.0
3 0.00 0.0
4 50.08 1.0
5 0.00 0.0
6 29.88 1.0
lambda:
1 60.0 
2 30.0 
3 30.0 
4 30.0 
5 30.0 
6 30.0 
assets:
4 9.99 
5 9.99 
6 9.99 
* end dispatch *
DISPATCH 156
loads:
1 0.00 
2 0.00 
3 14.13 
4 14.13 
5 3.43 
6 3.43 
7 3.43 
8 8.75 
9 8.75 
10 3.43 
11 12.07 
12 19.78 
13 23.38 
14 7.04 
15 4.83 
16 6.99 
17 29.29 
18 29.29 
19 29.29 
20 29.29 
21 29.29 
22 19.06 
23 16.83 
24 0.00 
25 0.00 
26 0.00 
27 0.00 
28 0.00 
29 0.00 
Pref:
1 153.34 1.0
2 66.83 1.0
3 0.00 0.0
4 50.08 1.0
5 0.00 0.0
6 29.88 1.0
lambda:
1 60.0 
2 30.0 
3 30.0 
4 30.0 
5 30.0 
6 30.0 
assets:
4 10.16 
5 10.16 
6 10.16 
* end dispatch *
